abacus,"noun:A manual computing device consisting of a frame holding parallel rods strung with movable counters.","More specifically, Buffett's Berkshire Hathaway for its five big bills got an issue of perpetual preferred Goldman shares with a neat 10% annual dividend, which according to our abacus translates into $5 million a year."
abandon,"verb-transitive:To withdraw one's support or help from, especially in spite of duty, allegiance, or responsibility; desert:  abandon a friend in trouble.","Show what is solid at the bottom of these intellectual abortions; in short, abandon the convention of the realist and return to the time reality, which is a mingling of the beautiful and the ugly, the dull and the brilliant, but in which the desire of good finds its place and its occupation all the same."
abase,"verb-transitive:To lower in rank, prestige, or esteem. See Synonyms at degrade.","The tempter asks Jesus to make himself superior to God; Jesus's rejection of that temptation, Ratzinger suggests, reminds us that ""to do that is to abase not only God, but the world and oneself, too"" - a suggestion confirmed by the murderous depredations of those twentieth-century totalitarians who made ultramundane gods out of themselves."
abash,"verb-transitive:To make ashamed or uneasy; disconcert. See Synonyms at embarrass.","He is one that sneaks from a good action, as one that had pilfered, and dare not justify it; and is more blushingly reprehended in this, than others in sin: that counts all publick declarings of himself, but so many penances before the people; and the more you applaud him, the more you abash him, and he recovers not his face"
abate,"verb-transitive:To reduce in amount, degree, or intensity; lessen. See Synonyms at decrease.","Finally, it would largely abate from the sympathy which late events have elicited from foreign nation"
abbreviate,"verb-transitive:To make shorter. See Synonyms at shorten.","She talked about money, and her points (which I again abbreviate) are:"
abdicate,"verb-transitive:To relinquish (power or responsibility) formally.","The word abdicate has to our ears a certain regal sound."
abdication,"noun:The act of abdicating; the renunciation of a high office, dignity, or trust, by its holder; commonly the voluntary renunciation of sovereign power; as, abdication of the throne, government, power, authority.","They hinted at the means of preserving it, but durst not pronounce the word abdication: so difficult it is to overcome the respect, that a great man inspires."
abdomen,"noun:The part of the body that lies between the thorax and the pelvis and encloses the stomach, intestines, liver, spleen, and pancreas. Also called belly.","For example, if you have pain in your upper right abdomen, is the pain coming from there, or from the sensory part of your brain?"
aberrant,"adjective:Deviating from the proper or expected course.","It also says some civilian supervisors are also at fault for ignoring clear signs of what it called his aberrant behavior."
aberration,"noun:A deviation from the proper or expected course. See Synonyms at deviation.","We view this decrease in spending as a short-term aberration and we are continually focused on expanding our technology base."
abet,"verb-transitive:To approve, encourage, and support (an action or a plan of action); urge and help on.","The proposed five-year sentence for those who ""abet"" a same-sex relationship is greater than the punishment stipulated in the bill for those who enter into a ""same gender marriage."""
abeyance,"noun:The condition of being temporarily set aside; suspension:  held the plan in abeyance.","And they would rather hold that money in abeyance for next year."
abhor,"verb-transitive:To regard with horror or loathing; detest: ""The problem with Establishment Republicans is they abhor the unseemliness of a political brawl�?  ( Patrick J. Buchanan).","Most women I am sure would abhor me -- yes, Dorcas -- _abhor_ me. '"
abide,"verb-transitive:To put up with; tolerate:  can't abide such incompetence.  See Synonyms at bear1.","""If ye abide in Me, and My word abide in you, ye shall ask what ye will, and it shall be done unto you."""
abiding,"adjective:Lasting for a long time; enduring:  an abiding love of music.","Here we are shown that when one ""hath eternal life"" it is ""eternal life _abiding in him_""; for there would be no meaning to the language if no one has eternal life abiding in him."
abject,"adjective:Brought low in condition or status. See Synonyms at mean2.","And the last thing they want is someone to get injured by what he referred to as abject stupidity, anybody coming out."
abjure,"verb-transitive:To recant solemnly; renounce or repudiate: ""For nearly 21 years after his resignation as Prime Minister in 1963, he abjured all titles, preferring to remain just plain 'Mr.'�?  ( Time).","That, presumably, is why he must 'abjure' this 'rough magic' by breaking his magical staff and drowning his book."
ablution,"noun:A washing or cleansing of the body, especially as part of a religious rite.","It was on that fatal spot that he conferred on his son the honor of knighthood: and the ceremony was accomplished by a slight blow from each of the horsemen of the guard, and by a ridiculous and inhuman ablution from a pool of water, which was yet polluted with patrician blood."
abnegate,"verb-transitive:To give up (rights or a claim, for example); renounce.","And still I stood with closed hands in the shade of the tree; and the people cried out that I was holy, and placed their offerings in my bowl; and I could not make up my mind to abnegate the title they gave me and become as they were."
abnegation,"noun:Self-denial.","Even if this is done, it is clear that to introduce the child of another woman into the home is demanding a much greater self-abnegation from the wife than is demanded from the husband in the situation we have just considered."
abode,"verb:A past tense and a past participle of abide.","In Tehran their abode is the Mission garden, where I have sometimes seen two hundred of this primitive people collected under the trees, where they live."
abolish,"verb-transitive:To do away with; annul.","And here, perhaps, we may be pardoned for the digression necessary to show the exact definition of the terms abolish, abolition and abolitionist."
abolitionism,"noun:Advocacy of the abolition of slavery.","Carolinians, who had settled the southern end, had strong antipathies to what they called abolitionism, and applauded Douglas and repeal."
abominable,"adjective:Unequivocally detestable; loathsome:  abominable treatment of prisoners.","But when poverty forced his family to move to a grim Paris suburb, he awoke suddenly to what he called the abominable treatment meted out to all the potential ""myselves"" who had been conditioned to become subcitizens good only to keep working to pay for the retirements of the ""real"" French when the French age pyramid gets thin at the base."
abominate,"verb-transitive:To detest thoroughly; abhor.","""I abominate all this talk about great preaching -- I call it pulpiteering."""
aboriginal,"adjective:Having existed in a region from the beginning:  aboriginal forests.  See Synonyms at native.","I find it ironic that you are so critical of a brief reuter’s newsfeed even making an erroneous assumption of the term aboriginal while unquestioningly accepting de-facto editorials from the Taipei Times."
abortive,"adjective:Failing to accomplish an intended objective; fruitless:  an abortive attempt to conclude the negotiations.","The term abortive organ has been thus applied to above structure (as"
aboveboard,"adverb:Without deceit or trickery; straightforward.","A Morgan Stanley employee advises telling the company to stay ""aboveboard"" and follow the letter of the contract."
abraded,"verb:simple past tense and past participle of abrade.","Does having your face squeezed, picked, burned, abraded and paralyzed strike you as extreme measures?"
abrasion,"noun:The process of wearing down or rubbing away by means of friction.","As you'll see in a moment, the very essence of early tooth care was ""abrasion,"" and it stayed this way for a very long time."
abrasive,"adjective:Causing abrasion:  scratched the stovetop with an abrasive cleanser.","Ash can also cause long-term abrasive damage to planes that could lead to later disasters if not dealt with."
abridge,"verb-transitive:To reduce the length of (a written text); condense.","And Anne, you seem to think Arabs 'abridge' the human rights of Jews, a month after Israel killed 1300 Palestinians, maimed thousands more, refuses to lift the blockade etc etc etc."
abrogate,"verb-transitive:To abolish, do away with, or annul, especially by authority.","""abrogate"" the peace treaty which the Hashemite Kingdom concluded with Israel in 1994."
abscission,"noun:The act of cutting off.","Abscission = cutting off, separation Usage: when a flower or leaf separates naturally from the parent, this process is called abscission 13."
abscond,"verb-intransitive:To leave quickly and secretly and hide oneself, often to avoid arrest or prosecution.","Milan CEO Adriano Galliani has echoed Klaas-Jan Huntelaar's agent Arnold Oosterveer, who insists his client will not abscond from the Italian club amid reports Liverpool are working on a loan deal for him."
absolute,"adjective:Perfect in quality or nature; complete.","From absolute ideas Plato ascends to an _absolute Being_, the author of all finite existence."
